symbol,year_report,length_report,update_date,revenue,revenue_growth,net_profit,net_profit_growth,ebit_margin,roe,roic,roa,pe,pb,eps,current_ratio,cash_ratio,quick_ratio,interest_coverage,ae,fae,net_profit_margin,gross_margin,ev,issue_share,ps,pcf,bvps,ev_per_ebitda,at,fat,acp,dso,dpo,eps_ttm,charter_capital,rtq4,charter_capital_ratio,rtq10,dividend,ebitda,ebit,le,de,ccc,rtq17
TCB,2025.0,5.0,1768987789217.0,68017450000000.0,0.13193641174554033,25290230000000.0,0.1750366864582737,0,0.1585291213,0,0.0239085825,9.8909454805,1.4710518731,3568.9206931224066,0,0,0,,6.642532359155087,0.06753669421775453,0.6628271440893694,0,250144286120000.0,7086240414.0,4.6851285887,6.355560997,23996.4345550569,0.0,0,0,,0,0,3568.9206931224,70862404140000.0,0,2.5330983922781707,0,0.0,0,0.0,0,0,,0
VGI,2025.0,5.0,1769772109837.0,44187803003862.0,0.24938461824807578,9324004846449.0,0.6572548758894627,0.2656227540610961,0.2466436628,0.2451890803,0.1286845756,34.7635442094,7.9033209925,3063.2664885552035,1.7988280565,0.5774813382,0.7841384046,-35.35827919484205,1.9016729202684974,0.3739085032974317,0.21100856373497648,0.5126365452800221,324135454688000.0,3043811200.0,7.335405534,19.7593305192,13474.0826168417,19.9283001028,0.6098547534,3.2126056043,51.18418919060906,70.4941151594,102.5476401533,3063.2664885552,30438112000000.0,0.0527287765,1.4075525632997539,0.9016729203,0.0,15582726763116,11737285929795.0,0.1700658967,0.9016729203,224.22594450330905,5.1777371654
VKP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMS,2024.0,5.0,1742985510810.0,366980367786.0,-0.03579412042458258,125377336.0,-0.8946148204958532,0.002936797296547685,0.0030163297,0.0227200761,0.0018105783,0.0,0.8773206713,31.344334,3.245803545,0.2180770502,1.2258591222,-2.1962136330319826,1.3768283583461438,0.14319466809586337,0.0003416458944558915,0.04851072276809449,36000000000.0,4000000.0,0.0980978907,-18.586229683,10258.506717,22.1475013405,5.2995756377,107.1340748588,25.574726243704283,24.4796337847,13.3303995221,0.0,40000000000.0,0,1.0258506717,0.3768283583,0.0,1762265659,1077746952.0,0.1560134374,0.3768283583,63.384759550504285,14.9103537745
AGM,2025.0,5.0,1770282818883.0,37263955400.0,-0.8453272886787521,-137382902487.0,0.47118649927928924,-0.8206089560744805,0.4511087409,-0.0577202801,-0.1385965966,-0.3179434938,0.0,-7548.511125659341,0.1240724979,0.0051634187,0.1189790789,0.35166050413128275,-2.58835347249074,-1.0273448332209059,-3.6867504002809106,-0.1438461014259372,43680000000.0,18200000.0,1.1721783029,17.6909109266,0.0,27.9829478895,0.0375931597,0.0910013412,1719.995402947081,111.3085415043,302.5774115833,-7548.5111256593,182000000000.0,-0.0330530647,-2.007286888692308,-3.5883534725,0.0,33309329907,-30579135540.0,-2.4832131198,-3.5883534725,2133.8813560346807,3.2791733237
BKC,2025.0,5.0,1770041978213.0,487137510231.0,-0.141579524264796,91022441425.0,0.7548523814805257,0.22093765884906585,0.3243086689,0.2223784331,0.1705675345,6.0092666845,1.6757715435,3877.344977878172,1.6298365846,0.3893079589,0.5224148542,-15.572609732920967,1.7638952628444093,0.41535125397144285,0.18685163739872396,0.25759325287945073,546978124800.0,23475456.0,1.1228413196,-4.333415975,13904.0432392879,4.8845640175,0.9128500924,5.0179919993,10.650596817295249,168.0271586612,89.5387210643,3877.3449778782,234754560000.0,0.0838567469,1.5437559776730216,0.7638952628,0.0,117391068986,107627021048.0,0.4193323687,0.7638952628,268.21647654279525,2.1722678816
VGS,2025.0,5.0,1770050620463.0,7379958291373.0,0.0038002416622419945,217018034447.0,0.9755024078523675,0.02619769844203065,0.1823661994,0.1026574004,0.0930710899,7.4559945242,1.2489245742,3527.3631055477317,1.500637479,0.0730846756,0.4904602726,-10.684442229335225,1.7977293912185723,0.0808044289627218,0.029652982024880415,0.03903478114889265,1618085276500.0,61524155.0,0.2210924716,3.6717845005,21058.1171545712,10.4529677177,3.1386755588,68.964168161,20.75973065398121,27.9652515077,13.5470492596,3527.3631055477,615241550000.0,0,2.1060707562289966,0.7977293912,0.0,203738793500,191730228621.0,0.4413906891,0.7977293912,62.27203142128121,13.0519119379
POB,2024.0,5.0,1739972925757.0,2410586886105.0,0.08755254661352097,1398915286.0,-0.590036581255364,0.00019294891741136784,0.0123852622,0.0041407566,0.0078364347,527.8977314856,4.9295216666,128.3408519266055,1.4642775331,0.1037864762,0.863473153,,1.6069542987717613,0.5158880685761283,0.0005803214536939393,0.02544449368888184,553720000000.0,10900000.0,0.2297033985,1198.5825910173,10305.2595030275,75.0323072958,13.5036102158,39.3576458194,7.229978108169864,5.5319747284,8.3545397644,96.2307601835,109000000000.0,0,1.0305259503027524,0.6069542988,0.0,7285456498,465120130.0,0,0.6069542988,21.116492600969863,65.9800555711
VNG,2025.0,5.0,1770031970983.0,726073205786.0,0.023432905802951518,7113185073.0,1.9695349558731823,0.1514442065362613,0.0063366259,0.0284325876,0.0015847415,93.8141667947,0.5926061599,73.12328440769646,1.0029997209,0.2181160255,0.9054427491,-0.46202186871059203,3.9204836460774093,1.5868988204727477,0.009797231609132194,0.32497155629453994,667317530880.0,97276608.0,0.9191191203,2.5848573026,11575.9849696239,17.7241607578,0.1617540133,0.4027204378,125.48189869408314,6.2314454103,92.1672068087,73.1232844077,972766080000.0,1.6600809799,1.1623118976290785,2.9204836461,0.0,191489737101,109954598636.0,4.0803944391,2.9204836461,223.88055091308314,58.5738903203
PVL,2025.0,5.0,1769620162760.0,2289450294.0,3.5497384298688064,-1802886358.0,0.8952342569341759,-1.8090094184853265,-0.0123329888,-0.0282787421,-0.0090264575,-110.9332261085,1.3766271955,-36.05772716,1.3094944349,0.0045393526,0.4784068282,,1.3651423195361392,0.05333394183715299,-0.7874756498207687,0.012415835833822213,200000000000.0,50000000.0,87.3572143165,-61.0439645357,2905.65231674,-63.9306593746,0.0114625227,0.177613106,410.03197909278884,3742.5338746376,2826.4850866931,-36.05772716,500000000000.0,0,0.290565231674,0.3651423195,0.0,-3143009205,-4141637145.0,0.0080876848,0.3651423195,6979.050940423489,0.0975275074
ACE,2024.0,5.0,1741598945290.0,305779182400.0,0.03485160693536494,15267161058.0,0.02668211474095108,0.07183586176990184,0.213655082,0.1756435746,0.0866496287,11.0608761248,1.8493053631,5004.345135884877,1.4764939631,0.363820616,0.9873750614,-6.076598038961671,2.583523958231624,0.2153069705884106,0.0499287130607489,0.1746693839514956,132367286028.0,3050781.0,0.4328852114,3.5292155862,23461.7823891653,5.3851800405,1.735466896,23.3921847687,110.56396740602993,80.2185500078,33.2933304831,3922.6549063994,30507810000.0,0.039563498,2.3461782389165267,1.5835239582,0.0806674657,27153720302,21965911079.0,0.786772742,1.5835239582,224.07584789692993,4.5500697777
IDC,2025.0,5.0,1769506599420.0,8588311505194.0,-0.02918195156831356,1931791460452.0,-0.03219533103115124,0.3101793389728534,0.3199601573,0.1883896634,0.0919864532,9.1348862601,2.7319512422,5090.375367124657,1.7537267697,0.0983991886,0.3042804047,-18.697517661664527,2.8078668691255957,0.3546568395893075,0.22493686205291313,0.3563056351696754,17646695269500.0,379498823.0,2.0547726506,4.5086770921,17020.8015728101,6.2932630924,0.4089434358,2.8627447167,33.08712228258336,89.2869470213,20.6583545578,5090.3753671247,3794988230000.0,0.3951756856,2.177353496497142,1.8078668691,0.0322580645,3650063026089,2663866619138.0,1.1064358046,1.8078668691,143.03242386168336,4.0879435592
VLG,2025.0,5.0,1769171861130.0,373354211072.0,1.087776089422596,6477642844.0,-0.7729143486024481,0.015821390108442784,0.0375383704,0.0352041701,0.0257708108,17.5522242794,0.6776065197,455.7826901386351,2.0007773908,0.3066807606,1.7894373221,,1.6266454051265355,0.22019281834644938,0.017349858798702045,0.03309556917416721,113697040000.0,14212130.0,0.3045286129,-37.2762575124,11806.261845691,7.9930428546,1.4853614127,9.586049887,87.74674085640657,0,65.4971353492,455.7826901386,142121300000.0,0,1.180626184569097,0.6266454051,0.0,10190203565,5906982622.0,0,0.6266454051,153.24387620560657,0
TRV,2025.0,5.0,1770223671203.0,5163750607102.0,6.798460532770453,61427897551.0,43.8789625781639,0.012427796649152225,0.085769756,0.0452648031,0.0264795165,29.5616398335,2.4312315666,471.1849572102932,0.728579559,0.2620959961,0.4484197678,-1.1689401295709023,3.09846632641089,1.7805760630715524,0.011895984571081864,0.08780978062871103,1815909383130.0,130368970.0,0.3516648114,14.9960528865,5729.1951088208,7.6378153331,2.2259205489,3.6673184915,12.896497709318307,13.0110622983,13.1531701087,471.1849572103,1303689700000.0,0.7698741397,0.5729195108820757,2.0984663264,0.0,291550190222,64174042492.0,1.6680258268,2.0984663264,39.06073011631831,28.0530514443
PVO,2024.0,5.0,1739985791540.0,491419148705.0,0.11701204984767204,1174392813.0,-0.133654599248993,0.0023192002106525457,0.0115215748,0.0111707114,0.0075974564,58.6162760465,0.5064808678,131.9542486516854,2.3688114568,0.7304983372,1.3394249002,,1.4888258533175958,0.32380898531083224,0.0023918886925455084,0.12221732221084833,51628900000.0,8900000.0,0.1051527059,-5.0655344718,11453.5422138202,3.5453522002,3.1763419532,14.7895100298,23.3938868407055,29.1311302825,34.033207546,98.9656865169,89000000000.0,0,1.1453542213820225,0.4888258533,0.0172384072,4295411204,1138703514.0,0,0.4888258533,86.5582246692055,12.5295515986
NTT,2025.0,5.0,1770048376670.0,1526835689293.0,0.23765890546834234,38986165316.0,0.3210384963347231,0.054132767944210555,0.1881174882,0.1007099639,0.0330580967,5.7866681212,0.9949863094,1658.9857581276597,1.0251448226,0.0859561049,0.514055482,-2.786585971044963,4.956548618708402,2.166550965945056,0.025544222212208565,0.08347895145485387,225600000000.0,23500000.0,0.1478159364,2.4878420004,9648.3739621277,7.1028514575,1.294151625,3.2127073328,51.667854399518035,82.0879828312,91.5457689436,1658.9857581277,235000000000.0,0.9454708783,0.964837396212766,3.9565486187,0.0,108139631609,82618645522.0,3.5635964874,3.9565486187,225.30160617431804,4.4464486446
GTD,2024.0,5.0,1744112115953.0,78948523511.0,-0.016249312833400035,-12965183006.0,-1.5859114279151107,-0.12942844299185,-0.39536285,-0.1844788172,-0.1049084063,-61.8138208793,30.4603297909,-1394.1056995698925,0.8290473666,0.0026949739,0.3615373722,7.185303963470835,4.573121813825497,1.9556312026554858,-0.1645778685226656,0.1303077865571432,801427500000.0,9300000.0,10.1731868856,-139.1000356557,2829.0895269892,-131.9210178907,0.6374393306,1.4841161828,122.2922959985761,212.9553571266,123.0760052048,-1394.1056995699,93000000000.0,0.0431386174,0.28290895269892474,3.5731218138,0.0,-6292884612,-10196167107.0,1.1438229659999999,3.5731218138,458.32365832997607,1.713974257
