time,open,high,low,close,volume,symbol,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d
2025-02-26,1305.16,1306.49,1301.2,1302.96,710467326,VNINDEX,1302.96,1302.96,1302.96,,0.0,0.0,0.0,,,,
2025-02-27,1307.31,1307.87,1296.43,1307.8,846430144,VNINDEX,1305.38,1305.38,1305.38,,0.3860968660967501,0.07721937321935002,0.3088774928774001,,,0.3714619021305321,
2025-02-28,1307.14,1308.77,1300.66,1305.36,752261254,VNINDEX,1305.3733333333332,1305.3733333333332,1305.3733333333332,,0.48955057182956807,0.15968561294139363,0.32986495888817446,,,-0.18657287046949245,
2025-03-03,1306.97,1309.77,1304.3,1309.37,801877821,VNINDEX,1306.3725,1306.3725,1306.3725,,0.8849111609727061,0.30473072254765615,0.58018043842505,,,0.3071949500520921,
2025-03-04,1306.82,1313.21,1298.28,1311.91,935914817,VNINDEX,1307.48,1307.48,1307.48,,1.3872032332533308,0.5212252246887912,0.8659780085645397,,,0.19398642095054264,
2025-03-05,1312.84,1319.52,1304.71,1304.71,770488829,VNINDEX,1307.0183333333332,1307.0183333333332,1307.0183333333332,,1.1905693499031713,0.6550940497316673,0.535475300171504,,,-0.5488181353903832,
2025-03-06,1308.02,1318.22,1307.91,1318.22,983977939,VNINDEX,1308.6185714285714,1308.6185714285714,1308.6185714285714,,2.100664519929296,0.9442081437711931,1.156456376158103,,,1.0354791486230752,
2025-03-07,1320.08,1327.07,1318.71,1326.05,892233477,VNINDEX,1310.7975,1310.7975,1310.7975,,3.4143782341100177,1.438242161838958,1.9761360722710597,,,0.5939827949811072,
2025-03-10,1331.6,1335.87,1326.51,1330.28,856953551,VNINDEX,1312.9622222222222,1312.9622222222222,1312.9622222222222,,4.742166719760235,2.0990270734232137,2.643139646337021,,,0.31899249651219375,
2025-03-11,1319.17,1332.54,1315.92,1332.54,847436213,VNINDEX,1314.92,1314.92,1314.92,,5.9086999581500095,2.860961650368573,3.0477383077814366,,,0.1698890459151503,
2025-03-12,1337.63,1342.91,1331.75,1334.41,851269003,VNINDEX,1316.6918181818182,1316.6918181818182,1316.6918181818182,,6.904488678163034,3.6696670559274653,3.2348216222355686,,,0.14033349843156628,
2025-03-13,1335.66,1340.91,1324.87,1326.27,997593162,VNINDEX,1317.49,1317.49,1317.49,,6.9566366647468385,4.327060977691341,2.629575687055498,,,-0.610007419009162,
2025-03-14,1325.84,1333.32,1324.3,1326.15,940130088,VNINDEX,1318.1561538461538,1318.1561538461538,1318.1561538461538,,6.908642789110445,4.843377339975162,2.065265449135283,,,-0.009047931416672483,
2025-03-17,1330.62,1336.26,1329.05,1336.26,837533176,VNINDEX,1319.4492857142857,1319.4492857142857,1319.4492857142857,73.8769666361791,7.598805504334223,5.394462972846974,2.2043425314872485,,,0.7623571994118228,
2025-03-18,1340.16,1341.65,1330.97,1330.97,810146564,VNINDEX,1320.2173333333333,1320.2173333333333,1320.2173333333333,65.83885815035667,7.63094090225195,5.84175855872797,1.7891823435239802,,,-0.395881041114754,
2025-03-19,1330.4,1330.7,1320.85,1324.63,835603365,VNINDEX,1320.493125,1320.493125,1320.493125,57.73155630615226,7.063400933073353,6.086087033597048,0.9773138994763055,,,-0.4763443203077422,
2025-03-20,1326.8,1332.41,1316.11,1323.93,821245236,VNINDEX,1320.695294117647,1320.695294117647,1320.695294117647,56.89847357240913,6.482412057699321,6.165352038417503,0.3170600192818176,,,-0.052844945380980946,
2025-03-21,1324.0,1325.22,1320.67,1321.88,714329789,VNINDEX,1320.7611111111112,1320.7611111111112,1320.7611111111112,54.42169360918654,5.78981493815877,6.090244618365757,-0.300429680206987,,,-0.15484202336981667,
2025-03-24,1322.9,1330.32,1316.73,1330.32,794981660,VNINDEX,1321.2642105263158,1321.2642105263158,1321.2642105263158,61.7952561925206,5.854477423554272,6.0430911794034605,-0.1886137558491887,,,0.6384845825642138,
2025-03-25,1335.29,1337.6,1329.81,1331.92,825911387,VNINDEX,1321.797,1321.797,1321.797,63.016736959092086,5.9660565511596815,6.027684253754705,-0.06162770259502359,1343.6211489615227,1299.9728510384773,0.12027181430032119,
2025-03-26,1333.33,1338.55,1323.69,1326.09,734831077,VNINDEX,1322.9535,1322.0014285714285,1322.0014285714285,55.99202140770568,5.5204156220622735,5.9262305274162195,-0.40581490535394593,1342.9495072593454,1302.9574927406547,-0.4377139768154348,0.45885152281563585
2025-03-27,1325.98,1328.82,1323.01,1323.81,564278774,VNINDEX,1323.7540000000001,1322.0836363636363,1322.0836363636363,53.48114959417133,4.926475684768775,5.726279558886731,-0.7998038741179556,1342.4343047422456,1305.0736952577547,-0.1719340316268081,0.4573324940651518
2025-03-28,1324.42,1325.34,1315.72,1317.46,636613233,VNINDEX,1324.359,1321.8826086956522,1321.8826086956522,47.14072664594397,3.898443247461728,5.36071229660173,-1.4622690491400023,1341.2268153828368,1307.491184617163,-0.47967608644744475,0.470226556765654
2025-03-31,1313.51,1314.09,1304.1,1306.86,753141476,VNINDEX,1324.2334999999998,1321.2566666666667,1321.2566666666667,38.85892066339027,2.20299397894496,4.729168633070376,-2.526174654125416,1341.600832037629,1306.8661679623706,-0.8045785071273626,0.5024811691303981
2025-04-01,1313.03,1317.46,1308.06,1317.33,550211861,VNINDEX,1324.5045,1321.0996,1321.0996,48.485719889398005,1.684758865674894,4.12028667959128,-2.4355278139163863,1341.2190439032818,1307.7899560967182,0.8011569716725564,0.5327803549532082
2025-04-02,1321.53,1324.46,1317.68,1317.83,709130132,VNINDEX,1325.1605,1320.9738461538461,1320.9738461538461,48.89951167934245,1.299420712933852,3.556113486259795,-2.256692773325943,1339.4592367495027,1310.8617632504972,0.03795556162844438,0.5155728936967683
2025-04-03,1272.87,1277.9,1229.41,1229.84,1716843434,VNINDEX,1320.7414999999999,1317.5985185185186,1317.5985185185186,19.386820310880353,-6.036435910585851,1.637603606890666,-7.674039517476517,1365.7407557950157,1275.742244204984,-6.676885485988326,1.5623255441268378
2025-04-04,1159.33,1210.67,1158.17,1210.67,1873633940,VNINDEX,1314.9724999999999,1313.779642857143,1313.779642857143,16.982077713456135,-13.244341402966256,-1.3387853950807185,-11.905556007885538,1381.5273599593636,1248.4176400406361,-1.5587393482078826,1.5691452873170924
2025-04-08,1173.14,1174.4,1130.98,1132.79,1055789483,VNINDEX,1305.098,1307.5386206896553,1307.5386206896553,11.008106305075259,-24.95327771291727,-6.061683858648029,-18.891593854269242,1409.7743315327677,1200.4216684672322,-6.432801671801569,2.0495701647439493
2025-04-09,1073.61,1141.35,1073.61,1094.3,1518648938,VNINDEX,1293.186,1300.4306666666666,1300.4306666666666,9.272080552381183,-36.913005275267324,-12.231948141971888,-24.681057133295436,1433.0289245749823,1153.3430754250176,-3.3978054184800377,2.11674375393866
2025-04-10,1166.09,1168.4,1165.86,1168.34,280341215,VNINDEX,1284.8825,1296.169677419355,1296.169677419355,31.613746060690502,-39.95617638223348,-17.776793790024207,-22.179382592209272,1433.8433568683308,1135.921643131669,6.7659691126747745,2.727915366202175
2025-04-11,1185.86,1222.46,1180.59,1222.46,1697947853,VNINDEX,1279.692,1293.86625,1293.86625,42.71755973736318,-37.56782125085715,-21.7349992821908,-15.832821968666352,1429.8106672497531,1129.573332750247,4.632213225602144,2.97064759440503
